"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","platform_code"
"18247442",,"Rua Taborari próximo ao 748",,"-22.8241302937853","-43.286706238598676","18247442",,"0",,,
"18260645",,"Avenida Paulo De Frontin próximo ao 500","Igreja N.Sra. das Dores","-22.923954673966485","-43.20978495102979","18260645",,"0",,,
"18355279",,"Avenida Nossa Senhora De Fatima próximo ao 83",,"-22.917070152512512","-43.18831598885819","18355279",,"0",,,
"18260653",,"Rua Santa Alexandrina próximo ao 865",,"-22.931628336198372","-43.208593101773026","18260653",,"0",,,
"18260655",,"Rua Santa Alexandrina próximo ao 565",,"-22.9296600817348","-43.20850365346533","18260655",,"0",,,
"18230066",,"Rua Capitao Teixeira próximo ao 557",,"-22.88457779983503","-43.42521628984043","18230066",,"0",,,
"18230064",,"Rua Capitao Teixeira próximo ao 920",,"-22.88599183828258","-43.423930418985634","18230064",,"0",,,
"18230070",,"Rua Capitao Teixeira próximo ao 117",,"-22.88170325061083","-43.42783375670228","18230070",,"0",,,
"18230068",,"Rua Capitao Teixeira próximo ao 285",,"-22.883259916339906","-43.42640998111954","18230068",,"0",,,
"18230072",,"Rua Marechal Soares De Andrea próximo ao 251",,"-22.879644158234687","-43.42864484750599","18230072",,"0",,,
"18230079",,"Rua Limites próximo ao 228","Universidade","-22.886827393378784","-43.435901908890685","18230079",,"0",,,
"18230077",,"Rua Limites próximo ao 1247","Quality Shopping","-22.886281748774554","-43.436315815550344","18230077",,"0",,,
"31852114","67913","Av. Graça Aranha",,"-22.90974963652388","-43.17406788357263","31852114",,"0",,,
"18230017",,"Estrada Do Mato Alto próximo ao 96",,"-22.957998696730925","-43.58063871354669","18230017",,"0",,,
"18260610",,"Rua Senador Vergueiro próximo ao 111",,"-22.936516459608843","-43.17556558417427","18260610",,"0",,,
"18230019",,"Estrada Do Mato Alto próximo ao 3686",,"-22.956995019607998","-43.57947945386611","18230019",,"0",,,
"18260608",,"Rua Senador Vergueiro próximo ao 147",,"-22.93948433326335","-43.17677444632067","18260608",,"0",,,
"18230021",,"Estrada Do Mato Alto próximo ao 2883",,"-22.956488670111817","-43.578432472238546","18230021",,"0",,,
"18230023",,"Estrada Do Mato Alto próximo ao 6023",,"-22.95608476455151","-43.57744764067905","18230023",,"0",,,
"18260612",,"Rua Senador Vergueiro próximo ao 44",,"-22.934281436944318","-43.17571934398345","18260612",,"0",,,
"18230119",,"Avenida Marechal Fontenelle próximo ao 5077","Supermercado","-22.8782055273305","-43.417241834580004","18230119",,"0",,,
"20824223",,"BRT Cajueiros - Sent. Santa Cruz",,"-22.930832352641534","-43.67342856580901","20824223",,"0","20824641",,
"18230117",,"Avenida Marechal Fontenelle próximo ao 5555","Supermercado","-22.878386329623318","-43.422559532056965","18230117",,"0",,,
"18230115",,"Rua Piraquara próximo ao 105",,"-22.87952124413422","-43.42285267094863","18230115",,"0",,,
"18230113",,"Rua Piraquara próximo ao 49",,"-22.882318176657105","-43.42028732447377","18230113",,"0",,,
"18230127",,"Avenida Marechal Fontenelle próximo ao 3045","Supermercado","-22.884530627637794","-43.40557296326184","18230127",,"0",,,
"18230125",,"Avenida Marechal Fontenelle próximo ao 3863",,"-22.883053216787232","-43.40875895719993","18230125",,"0",,,
